field1,field2,field3
Live-Action Adaptation: looking for Novel Writers with finished work,"QR Code Link to This Post
            
        
I’m looking for a writer who has already published a novel that we could adapt into a live-action Pilot.

(This includes indie Graphic Novel, Manga, Comic Book writers.)


We’ve already worked with a writer who is very happy and excited with the short film of their novel. And we want to continue on that momentum.

This could be used to promote your book series and gain a bigger following.

I work with a small, but powerful team that strives for quality, art, and impressive visuals.


Can be from any Genre:
- Action Novel
- Dramatic Novel
- Supernatural
- Comedy
- Sci-Fi
- Family


Remember, it does not have to be a wildly popular, novel series. All we ask for our criteria is that your novel has been publicly published either online or physical copy.

Let’s collaborate to bring your novel to live-action.",no pay
Looking for an Artist to create a 10 Page Comic or Manga,"QR Code Link to This Post
            
        
Hi,

I’m a Concept Artist and Writer. I’m looking for an affordable Comic or Manga Artist to create a 10 pg indie comic, based on my comic storyboards.

I plan to publish the comic and bring it to various conventions to pitch.

Please understand that I’ll own the rights to my story, dialogue, and characters. But you of course will be credited as the Artist.

I’ll do the rough storyboards so that should help with communicating the angles, poses, and general panel layout.



- Please send me a quote of what it would cost to pen and ink the 10 page comic. (Clean black and white line work)

- And what it would cost for ink with full color?",compensation: Please send me a Quote
"Model, 6', Female","QR Code Link to This Post
            
        
Need tall female model, 18+ otherwise age does not matter.  $20 per published photo, non-nude, contact for details.",compensation: $20/photo
Female “Model” for University Project,"QR Code Link to This Post
            
        
I'm taking an online course in fundamental anatomy/physiology for university, and require somewhere around 5-15 minutes of a model/volunteer’s time.

Basically, I need to make a video demonstrating 3 basic anatomical reflexes on a volunteer. Brachioradialis (wrist), Quadriceps/Pateller (knee), and Achilles (ankle). It only needs to be about 30 seconds long and the volunteer doesn't have to show her face nor do they have to speak, as the video doesn't have to have sound. Pretty much just have to hold the camera and video me making your apendenges jerk a little.

Volunteer would preferably be a clean, young female. This is not mean’t to be inappropriate in anyway, I’m just a bit of a germaphobe. 

Note: do not respond if your sensitive to people touching your forearms, knees, and/or feet.

When replying, please include a picture of yourself and/or your name. (To make sure your real, and for protection)

Probably meeting in a library/public area somewhere during the day would be most convenient and safe.",compensation: $50. I’d like to get this over with.
Looking for Tucson Instagram Models,"QR Code Link to This Post
            
        
Looking for female Instagram Models that live in Tucson.
Minimum requirements-
50,000 organic followers.
willing to promote a new up and coming Tucson business over a 3 week period that could include wearing clothing (T-shirts/Hats with logo)  that is visible in at least 3 permanent postings.",compensation: competitive.
male actors needed for girls gone wild gulf coast edition,"QR Code Link to This Post
            
        
We are a private video firm with many things set in place. We are currently auditioning male performers who are interested in working with college girls from USM for low pay however top performers will be pushed to continue performing with our sister studio in new orleans. If you are comfortable around women in their 20's and can perform in front of a studio crew feel free to shoot a message. Thanks and looking forward to hearing from you.",compensation: $500 per scene
Computer programming/ excel tutoring like,"QR Code Link to This Post
            
        
Help tutoring student. Data entry program. Computer programming experience is a plus. Pay negotiable. Contact me needed asap",compensation: Will be discussed.
Models wanted for Photo/Music Video 18-25W Must be fit.,"QR Code Link to This Post
            
        
Looking for young beautiful talent for upcoming rolls in music videos, photo shows, and possible live events.  Contract directly  559-203-2633",compensation: Per shoot/Video
"Seeking woman for modeling gig, young, plus sized prefed","QR Code Link to This Post
            
        
Looking for a plus sized women for semi erotic photos shoot. No nudity but will he revealing. Will consider supplying lingerie. Ebony, 18-21 at front of line. Paid gig. $100+",compensation: $100 +
Seeking participants for a one-hour video interview about hearing loss,"QR Code Link to This Post
            
        
Looking for people who recently experienced hearing loss for a video interview about your experiences.
The interview will be conducted via Google Hangouts (no travel needed), and will take about 1 hour. The requirement for participating is that you're suffered some level of hearing loss in the past 6 months.
Interview will take ~20 to ~30 minutes. $50 will be paid via Paypal, or Venmo.
If you're interested, please fill out the form here: https://docs.google.com/forms/d/1Q63JOw3HNH-o5o3SKKKDLdrepevWWNhGm91Af2pmqYM/viewform
We'll reach out via email to schedule a mutually convenient time for the interview.


Thanks!",compensation: $50
Seeking amatuer models 18+,"QR Code Link to This Post
            
        
Seeking amatuer models.  Must be 18+.  No experience necessary. In Boardman, Ohio  and surrounding areas.  Great oppertunity for new models looking to build a portfolio.","compensation: Depending on intrest, negotiable."
Looking for help designing a Wordpress site,"QR Code Link to This Post
            
        
I've purchased a web domain for myself which I want to use to sell and promote my fiction writing, as well as market my editing/tutoring services. But, I'm not particularly web savvy, so I'm looking for someone to meet with me and show me the ins and outs of WordPress, as well as some tips on how to make the site attractive.  If interested, please contact me with your background and qualifications.  Top consideration to those who are in, or can get to the Gaithersburg/Germantown area and are free during the day this Sunday.",compensation: $40
*** If you can Post Our Pre Written Ads then I want to talk to You ***,"QR Code Link to This Post
            
        
<img src=""http://www.mydigitalimpact.com/ICS-Display-Ad-1.jpg"">;",compensation: 100% Commissions $300-$500 per day After Training!
Video Preditors and PAs,"QR Code Link to This Post
            
        
A new type of video services agency is looking for talented people to help small businesses and non-profits tell their stories in a noisy world.

We are looking for responsible folks that can work with a wide range experiences, be punctual, creative and want to learn how to tell stories with video.

Looking for:
Preditors–Camera operators/editors that can help craft a story of an event. $25/hr
PA-Folks who want to learn filmmaking and photography, social media skills a plus. $15/hr

Please reply with a cover letter, resume, and link to any recent work.",compensation: $15/hr+ DOE
Writer / Ghost Writer,"QR Code Link to This Post
            
        
I'm looking for a freelance writer to help me storytell and ghost write some blog posts for my linkedin.  I work at a tech start up in Human Resources (People Ops) and want to cover topics on diversity, inclusion, benefits, etc. 

This is a remote position that can be done from anywhere. 

Pay via vemno - rate DOE.   Please send some examples of work",compensation: DOE
Casting for film & web series,"QR Code Link to This Post
            
        
Small indie film company is casting new faces for details roles in a film and web series . 
No experience required but helps. We are looking for serious minded individuals , actors, actresses, models , musicians , comedians, etc ..
This is a no paying gig , strictly for experience. Great to put on resume.
Wardrobe and food will be provided .
Please send headshot and resume to be invited to audition",no pay
Looking for male models 21 – 50 for upcoming project/body of work.,"QR Code Link to This Post
            
        
Looking for male models 21 – 50 for upcoming project/body of work. 
I will be taking reference photos. The compensation is $100 for 2 hours.
Preference for those with some definition / flexibility / body work (including yoga).

Please include recent head shot and/or selfie when contacting me.
I will provide more details including samples of work.",compensation: Compensation is $100 for 2 hours.
"Sports ""Stringer"" Writer/Independent Contractor","QR Code Link to This Post
            
        
Job Summary 
The Sports ""Stringer"" Writer position will be responsible for preparing stories and taking photographs for both the print edition and the online edition. Using social media will also be an important component of this position. This position includes game coverage, features and statistics. The ideal candidate will be self-motivated, possess effective writing skills and be familiar with social media. Candidate should also be able to cultivate solid relationships with coaches and other sources. 

Job Requirements 
•	Writing sports stories for both print and online 
•	Interviewing athletes and coaches at local high school and college levels 
•	Correction work on print deadlines 
•	Photographing and videoing local sporting events 
•	Using social media to keep readers informed and involved 
•	Posting content to website 

Minimum Requirement
The successful candidate will entry level of experience and a strong interest in local sports. 

Technology Skills
•	Proficiency in Microsoft Office or word processing programs. 
•	Writing and editing skills and AP Style required. 
•	Proficiency in InDesign, Photoshop a plus. 
•	Ability to learn other relevant software programs is important. 

Education
High School Diploma with passion for local sports.",compensation: Independent contractor pay per story.  Stories with photos extra.
Videographer needed for client testimonial video,"QR Code Link to This Post
            
        
Startup needs a Videographer to shoot a 2 minute client testimonial at a Veterinary practice downtown.
Also need to shoot 1 minute promo video for the vet practice.
Here is a sample testimonial at the bottom of this page.
https://www2.payjunction.com/ezyvet-free-rates-savings-report",compensation: Compensation to be determined by experience.
Video Production,"QR Code Link to This Post
            
        
Looking for a talented individual to produce a custom video intro for our company videos. 

This opportunity requires a one week turn around. 

Please contact Mario: cause1b@gmail.com",compensation: Open
College age actress needed for amateur film and modeling,"QR Code Link to This Post
            
        
We have an emergency!
My last actress dropped out at the last second and I am in desperate need of a replacement!

Need someone in the next 2 days for a 30min to 2 hour shoot.

Please send head shot and full body shot for consideration.

Pay is negotiable and starts at 100 an hour.",compensation: Starting at $100 an hour
models wanted,"QR Code Link to This Post
            
        
Looking for models that want to build a resume before moving to LA, NY or CA. Adult in nature. Be willing to post to the inter net. Ages 18-35 please. 

I will be possible Ladies in a public place for interviews.",compensation: Will pay but need to discuss it after contact.
Adult Models Needed,"QR Code Link to This Post
            
        
Seeking female adult models 18-36
Please respond with photos and contact information.",compensation: Variable
Need a Photoshop Expert,"QR Code Link to This Post
            
        
I am a local leaded glass artist who needs someone to design with me when I have projects. Must be in my studio, you must bring your own laptop with Photoshop installed. Please make contact here with images of your work or website, and call the number listed above if interested. I have a job right now, so I would need you perhaps this weekend. Let me know what you charge per hour.

Thanks, hope to hear from qualified people soon. 

~Theresa",compensation: TBD
BODYBUILDERS WANTED FOR COMEDY VIDEO,"QR Code Link to This Post
            
        
I'm a TV writer and producer seeking three bodybuilders (2 male and 1 female or all 3 males) to act in a comedy video about Muscle Beach. If you've ever wanted to do some performing outside of bodybuilding, this is a great and fun opportunity! It would just be one day of shooting in one location -- so pretty simple.

I've written for several television shows, but I've also always made Youtube videos on the side, mostly for fun. This video would be somewhere in between that. If it comes out well, it could serve as a proof-of-concept for a TV show pitch. I'm happy to share all my credentials and Youtube videos to anyone interested in applying. Thanks! I look forward to hearing from you!",no pay
Editor Needed for Poker Show,"QR Code Link to This Post
            
        
Multicam poker show looking for an experienced editor who can edit in premiere. The editor will be paid $1,000 per episode and given credit. We are looking for the editor to begin next week. The ideal candidate has experience editing Multicam shows. Thank you very much","compensation: $1000 per episode, and credit"
FREE CLASS! How To Book TV Commercials.,"QR Code Link to This Post
            
        
FREE CLASS! How To Sign With A Top Commercial Agent & Book TV Commercials. 
Thur. Jan. 23rd, 2:30pm OR 5pm
Fri. Jan. 24th. 2:30pm
Sat. Jan. 25th, 4:30pm
Sun. Jan. 26th, 3pm

Class Size Limit: 5 people

The Class is only 60 minutes)

These Actors Recently Booked These National Commercials!:
Crystal Jenious/Bayer Aspirin
Jamila Majesty/Enfamil
Lindsay Mallard/Mercedes
Steve Dez/Wendy's
Troy Williams/Grub Hub
Steven Littles/Little Caesar's
Gina Jackson / Walmart
Rodney Collins / Honda
Mario White / AT&T

4 REASONS YOU NEED TO COME TO THIS FREE CLASS. YOU:
1. Just moved to L.A. Just starting your Acting Career
2. Been Acting for a short/long time. Don't have an Agent.
3. Have an Agent. Not getting auditions.
4. Have an Agent. Getting auditions but not getting callbacks, avails, bookings.

What you will discover:
* 2 Powerful, breakthrough On-Camera Script/Copy exercises!
* 2 Very specific things Casting Directors expect an actor to execute when reading copy from the cue card.
* The #1 marketing tool actors can use to create more castings
* Power steps to take to energize your acting career when your Agent says, ""It's slow right now.""

Location: Hey, I Saw Your Commercial! Studios
5511 West Pico Blvd.
LA, CA 90019 (Near Hauser, East of Fairfax Blvd.)
Studio line: 323-939-4612
YOU MUST RSVP YOUR SEAT VIA EMAIL! See how to information below.
Email your RSVP NOW!

Leave this information and your seat will be saved.
Name / Contact number:
Day and time you are attending.","compensation: Union, National Commercials pay $672 per day plus residuals"
model looking for paid work,"QR Code Link to This Post
            
        
young female model looking for paid adult video shoots, lewd modeling, etc. Will send pictures and more info about myself over email. Serious inquiries only.",no pay
"Casting Call for ""Cult Classic"" style Independent Film","QR Code Link to This Post
            
        
Small Independent Cult-Classic Style Film, seeking actors and actresses for the following roles:

-Donald Trump
-Elon Musk
-Thomas Edison
-Nikola Tesla
-Time traveling secret agents 
-Stone Age era people
-Lots of Extras

In addition we are also looking for a costume designer.

If interested please send bio, headshot, resume if you have it, the role you are interested in and why. 

We are looking for lookalikes! The main roles will have to be cast to people who look like Elon Musk, Donald Trump, Nikola Tesla, etc. 

Important: Must have improvising skills! The script is fairly loose and ideally we give you a prompt and you can go off the cuff. 

Looking forward to auditioning with you.",compensation: $50 per diem
Looking for Computer/ Software help,"QR Code Link to This Post
            
        
Looking for someone who knows a lot about computer computer software programming. Contact me through email please. Must be experienced.",compensation: TBA
Pregnant? Help revolutionize maternal health for women of color! Earn,"QR Code Link to This Post
            
        
Pregnant? Help revolutionize maternal health for women of color! Earn $150 for your time.
We are looking for pregnant women of color to participate in a project to develop a more inclusive and supportive healthcare process.
The study requires participants to engage in several actions over the course of 6-8 weeks and provide feedback to us:
Participate in a 30 minute webinar 
Engage with study organizers over text messages to follow and/or respond to three actions focused around third trimester prenatal care appointments.  
Complete 2-3 emailed surveys. 
Participants will be compensated for full participation (up to $150) 
Please complete this survey to help us determine if you are qualified for the group - https://life.typeform.com/to/P3YYZ4",no pay
Web Specialist Wanted,"QR Code Link to This Post
            
        
We are looking to hire a web development specialist for a short-term project.  Must have extensive Wordpress expertise.  Project may include refinement of mobile web presence.",compensation: $25 to $30 per hour
(Paid Gig) Music Video Casting Call Model & Extras Needed (Paid Gig),"QR Code Link to This Post
            
        
Music Video Casting Call Model & Extras Needed (Paid Gig)

Music video shoot casting call MODELS & EXTRA'S NEEDED
Submit head shots, contact info & social media information for consideration
CONTACT FOR SUBMISSION DETAILS AND MORE INFO
All extras will be paid for there time on set.
Deadline for submission 2/21/2020

Music video shoot casting call for all males and females some acting involved Contact us asap
Date: March 2020
Time: TBA
Location: ART BOX ATL",compensation: Hourly Pay
Seeking Russian-American Voice Actors for Animated Short,"QR Code Link to This Post
            
        
Hi, 

I'm working on an animated film about some friends at a Russian community event. I'm looking for people of all ages who can speak both Russian and English and would be willing to record some lines for me. Recording will take place at a public location (library?) sometime in early February. I will be happy to compensate you for your time. Please contact me for more details!

Warmly, 
Lydia",compensation: $30+
Animator,"QR Code Link to This Post
            
        
Hi! 
I am writing / directing a 7-song visual album (long music video) for a major-label recording artist. The video calls for a 6-8 minute animated portion in the style of BoonDocks. 
Please send your reel and info if interested. 
Cheers,
Bobby",compensation: competitive
